,score
0x10a4509fb431cf08f52b4eebd62569048606304e,51.54
0x718fdf375e1930ba386852e35f5bafc31df3ae66,51.52
0x4fe95c36bb9b3a81f278569525162f91615e77d7,51.51
0x4c77ca7ff8e548806fdc88e4dfa8ea1e493a450a,51.51
0x40941f5619974c639fe13fe977fd92805fc10ec3,51.49
0x4fc604536134dc64718800361ecbca0df6cbfe08,51.49
0xb4df85cc20b5604496be657b27194926bd878cee,51.48
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,51.47
0xb0804b6dbe7159bddc1b6c9c00c796d94eee1858,51.47
0x7e1e6c4e8ff242017311c96b75aa2d39ff622f29,51.45
0x1c49f9aa2dec3ad25d4b3efc29a785cf17691370,51.45
0x1a2d4efc833d4a32728b149b6fbaeb0b948d4bbe,51.43
0xb28cf9fcfaa079ff21ceddbfc7b4b2fb9c7bd70f,51.43
0x28d59e2e8d87b4b272a75b384f6f593a41b4df4a,51.4
0xa7f3dfed2bcf7b35a8824e11ae8f723650edfb58,51.4
0x697c62503e0e2767741f55ba8a7d62fd78718444,51.39
0x60987c6d70a9f7ea35c13877ce4aa92f5c73f18c,51.39
0x029d68ff4b05fc4102d8caa77e28c585a32cdd16,51.38
0x23395e68e4a65b5b9b33e3819f6a3058752a1a2e,51.38
0xd84e11bee5d555ccd905817cb8cbbd5b6e6c4f0d,51.36
0x5c10afd2e8c8ae7e282aea60759209f32edfe3d8,51.36
0x2142efcb2870affc21b4f2ebbe3976f446ce2b90,51.35
0x85697c00fb7bfdd5b31826f4e807459fb9941b19,51.33
0xf84cc6a984a64468dfd9da25ec44b40c0eb7678c,51.32
0x0006e4548aed4502ec8c844567840ce6ef1013f5,51.31
0x774f45a32ca6a365b693dfd58d129c959fc159d9,51.31
0xc1e4f98ee6d02aefa7eb53404e9a7a8f41ba0132,51.3
0x9fd31424cfceab50218906bc1b3d87fe7778ca61,51.3
0x92f2a83c63f299a3e5d5f16c56241d11cae4e868,51.28
0x586e32930ac05127de429bd566eaa2758fcbd9bc,51.28
0x6c24d04be59d9d9010082523099ec3d80190a435,51.28
0x293425f7e1f094cd06a264187d830b59e54cac1e,51.26
